BOROUGH,YEAR,MONTH,COLLISION_COUNT
BRONX,2012,7,1641
BRONX,2012,8,1665
BRONX,2012,9,1548
BRONX,2012,10,1605
BRONX,2012,11,1444
BRONX,2012,12,1608
BRONX,2013,1,1486
BRONX,2013,2,1542
BRONX,2013,3,1746
BRONX,2013,4,1602
BRONX,2013,5,1808
BRONX,2013,6,1748
BRONX,2013,7,1749
BRONX,2013,8,1605
BRONX,2013,9,1667
BRONX,2013,10,1580
BRONX,2013,11,1610
BRONX,2013,12,1625
BRONX,2014,1,1635
BRONX,2014,2,1688
BRONX,2014,3,1562
BRONX,2014,4,1530
BRONX,2014,5,1686
BRONX,2014,6,1749
BRONX,2014,7,1662
BRONX,2014,8,1611
BRONX,2014,9,1712
BRONX,2014,10,1639
BRONX,2014,11,1583
BRONX,2014,12,1631
BRONX,2015,1,1704
BRONX,2015,2,1435
BRONX,2015,3,1825
BRONX,2015,4,1623
BRONX,2015,5,1839
BRONX,2015,6,1835
BRONX,2015,7,1823
BRONX,2015,8,1880
BRONX,2015,9,1753
BRONX,2015,10,1867
BRONX,2015,11,1790
BRONX,2015,12,1884
BRONX,2016,1,1878
BRONX,2016,2,1644
BRONX,2016,3,1724
BRONX,2016,4,1821
BRONX,2016,5,2034
BRONX,2016,6,1870
BRONX,2016,7,1956
BRONX,2016,8,1810
BRONX,2016,9,1793
BRONX,2016,10,1726
BRONX,2016,11,1655
BRONX,2016,12,1749
BRONX,2017,1,1691
BRONX,2017,2,1618
BRONX,2017,3,1899
BRONX,2017,4,1752
BRONX,2017,5,2030
BRONX,2017,6,2025
BRONX,2017,7,1806
BRONX,2017,8,1652
BRONX,2017,9,1602
BRONX,2017,10,1677
BRONX,2017,11,1774
BRONX,2017,12,1871
BRONX,2018,1,1802
BRONX,2018,2,1598
BRONX,2018,3,1900
BRONX,2018,4,1765
BRONX,2018,5,2079
BRONX,2018,6,2078
BRONX,2018,7,2035
BRONX,2018,8,1994
BRONX,2018,9,1940
BRONX,2018,10,1985
BRONX,2018,11,1957
BRONX,2018,12,1927
BRONX,2019,1,1768
BRONX,2019,2,1646
BRONX,2019,3,1952
BRONX,2019,4,1779
BRONX,2019,5,2085
BRONX,2019,6,2051
BRONX,2019,7,1998
BRONX,2019,8,1793
BRONX,2019,9,1845
BRONX,2019,10,1877
BRONX,2019,11,1821
BRONX,2019,12,1822
BRONX,2020,1,1715
BRONX,2020,2,1523
BRONX,2020,3,1281
BRONX,2020,4,590
BRONX,2020,5,840
BRONX,2020,6,1051
BRONX,2020,7,1267
BRONX,2020,8,1333
BRONX,2020,9,1241
BRONX,2020,10,1258
BRONX,2020,11,1186
BRONX,2020,12,1021
BRONX,2021,1,981
BRONX,2021,2,807
BRONX,2021,3,1052
BRONX,2021,4,1056
BRONX,2021,5,1281
BRONX,2021,6,1266
BRONX,2021,7,1220
BRONX,2021,8,1201
