PERIODO,QTY_APPARENT_DEATH,QTY_CONSCIOUS,QTY_DOES_NOT_APPLY,QTY_INCOHERENT,QTY_SEMICONSCIOUS,QTY_SHOCK,QTY_UNCONSCIOUS,QTY_UNKNOWN,QTY_TOTAL
2016/03,8,14675,29651,19,26,115,25,470,44989
2016/04,16,20624,55709,33,44,167,44,375,77012
2016/05,11,5323,81488,22,39,79,28,194,87184
2016/06,24,5323,83639,24,43,102,45,176,89376
2016/07,20,5385,80059,14,37,120,34,161,85830
2016/08,22,5100,77985,23,52,127,35,196,83540
2016/09,11,5093,75892,36,48,114,30,203,81427
2016/10,13,4784,77084,21,42,111,28,183,82266
2016/11,11,4701,75575,29,25,132,29,172,80674
2016/12,22,4564,74906,22,29,104,17,127,79791
2017/01,17,4229,68167,23,27,121,31,123,72738
2017/02,16,3718,61223,15,29,102,18,94,65215
2017/03,16,4199,74326,20,16,116,21,124,78838
2017/04,14,4335,70961,18,30,116,21,87,75582
2017/05,12,5142,83596,18,30,135,25,163,89121
2017/06,20,5330,84613,26,38,126,29,211,90393
2017/07,22,5104,77346,26,26,140,34,171,82869
2017/08,20,5079,74346,19,28,96,23,144,79755
2017/09,25,5246,76442,23,28,155,31,156,82106
2017/10,31,5287,77781,23,31,134,30,143,83460
2017/11,20,4768,75868,14,26,115,22,111,80944
2017/12,20,4696,75742,14,23,107,23,129,80754
2018/01,16,4200,68619,26,28,129,11,87,73116
2018/02,20,3856,60720,16,14,72,22,99,64819
2018/03,18,4484,73237,10,26,130,23,120,78048
2018/04,15,4436,69852,21,18,90,15,122,74569
2018/05,16,5335,80420,22,29,132,27,151,86132
2018/06,25,5318,80625,14,43,124,27,116,86292
2018/07,19,5135,75926,22,36,145,26,163,81472
2018/08,22,5229,74428,19,41,137,24,124,80024
2018/09,28,5287,73253,25,23,117,31,111,78875
2018/10,20,5373,78981,23,34,132,23,106,84692
2018/11,19,4728,73670,24,26,118,27,129,78741
2018/12,18,5127,73966,24,28,141,19,95,79418
2019/01,15,4174,63214,18,23,122,29,100,67695
2019/02,20,3990,60616,15,19,76,16,85,64837
2019/03,17,4387,67276,18,34,122,20,77,71951
2019/04,25,4515,64168,23,34,126,31,106,69028
2019/05,13,5393,74299,20,29,156,22,134,80066
2019/06,21,5607,74161,24,34,141,22,120,80130
2019/07,21,5354,69100,23,35,125,23,119,74800
2019/08,18,5223,63517,24,33,114,25,102,69056
2019/09,21,4997,64781,20,41,120,39,112,70131
2019/10,16,5012,65356,18,30,109,22,106,70669
2019/11,16,4504,63263,17,24,128,22,94,68068
2019/12,19,4913,62605,16,34,119,25,106,67837
2020/01,16,3990,52289,20,27,104,12,96,56554
2020/02,17,3809,50085,21,21,111,19,85,54168
2020/03,12,2977,39896,17,16,75,11,84,43088
2020/04,15,1218,12904,12,14,41,9,31,14244
2020/05,8,2388,19379,24,18,64,28,49,21958
2020/06,27,3366,23748,25,38,111,30,80,27425
2020/07,20,4101,28501,22,45,101,29,91,32910
2020/08,17,4381,29589,16,41,161,44,122,34371
2020/09,24,4398,29182,28,34,126,32,123,33947
2020/10,19,4125,29627,23,32,90,33,85,34034
2020/11,28,3875,27384,30,30,90,19,94,31550
2020/12,15,3227,25468,23,17,100,22,62,28934
2021/01,17,2936,23619,14,27,78,16,69,26776
2021/02,15,2417,20944,7,12,72,15,65,23547
2021/03,10,3267,25510,22,29,121,24,85,29068
2021/04,18,3805,27073,25,28,109,29,118,31205
2021/05,21,4716,31190,28,42,112,45,133,36287
2021/06,22,4764,32039,15,39,119,34,142,37174
2021/07,24,4491,29815,19,33,143,31,146,34702
2021/08,22,4625,29094,16,25,122,32,141,34077
2021/09,15,4643,29371,13,25,150,36,139,34392
2021/10,29,4709,30639,16,26,151,32,128,35730
2021/11,17,4173,28664,23,22,161,21,132,33213
2021/12,17,3829,25664,13,23,114,24,130,29814
2022/01,21,2957,23439,11,20,112,20,91,26671
2022/02,19,3095,22015,9,12,118,25,114,25407
2022/03,16,3867,26916,9,24,166,33,146,31177
2022/04,8,3821,25904,9,18,160,18,151,30089
2022/05,24,4337,28901,18,24,182,27,168,33681
2022/06,21,4534,28294,14,39,179,27,205,33313
2022/07,32,4425,25982,14,25,170,46,178,30872
2022/08,10,2669,15498,3,20,119,18,104,18441
