DRIVER_LICENSE_JURISDICTION,PERC
AB,0.0026973639226948046
AK,0.004077410580817727
AL,0.03650850704670642
AR,0.010162161755268798
AZ,0.05212812604091587
BC,0.00445378694212398
CA,0.21353085564774685
CO,0.0312392379884189
CT,1.125553508486346
DC,0.0331838491885012
DE,0.11786853048240786
ETA,6.272939355104196e-05
FL,1.059436727683548
GA,0.32437369405243804
HI,0.0071511508648187845
IA,0.009723056000411505
ID,0.003450116645307308
IL,0.10739272175938384
IN,0.03192926131748036
KS,0.010977643871432343
KY,0.016936936258781333
LA,0.025091757420416784
MA,0.3451371233178329
MB,0.0011918584774697975
MD,0.606906882606331
ME,0.03161561434972515
MI,0.06718318049316595
MN,0.022143475923517814
MO,0.02684818043984596
MS,0.012984984465065687
MT,0.003701034219511476
MX,0.014427760516739652
NB,0.06235301718973571
NB1,0.004955622090532315
NC,0.3525391917568559
ND,0.0050183514840833575
NE,6.272939355104196e-05
NF,0.013675007794127149
NH,0.044726057601892924
NJ,5.782583685715702
NM,0.07565164862255662
NS,0.0010036702968166714
NT,0.00025091757420416785
NV,0.019195194426618843
NY,86.02044100018254
OH,0.11147013234020157
OK,0.013925925368331316
ON,0.045792457292260634
OR,0.010350349935921925
PA,1.747389986757825
PA',6.272939355104196e-05
PE,0.0017564230194291749
PQ,0.03330930797560328
PR,6.272939355104196e-05
RI,0.07326793166761701
SC,0.14666132212233612
SD,0.002948281496898972
SK,0.0008782115097145874
TN,0.045792457292260634
TX,0.16347279959401537
UT,0.007527527226125035
VA,0.33428493823350264
VT,0.027538203768907425
WA,0.19621754302765926
WI,0.021327993807354267
WV,0.012483149316657352
WY,0.0025091757420416787
YT,0.001568234838776049
ZZZ,0.2568768665915168
